1,0,0,1
2,0,1,0
3,0,0,5
4,2,2,1
5,0,0,1
6,0,0,1
7,0,1,0
8,0,1,0
9,1,0,0
10,0,1,0
11,0,0,1
12,1,0,0
13,0,1,0
14,0,2,0
15,0,0,1
16,0,0,2
17,0,1,0
18,1,0,0
19,0,1,0
20,0,1,0
21,0,1,0
22,0,1,0
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,5,0
28,0,1,0
29,0,5,6
30,2,2,0
31,1,0,0
32,2,0,0
33,0,1,0
34,0,1,0
35,2,0,0
36,0,1,0
37,0,1,1
38,1,1,0
39,0,0,3
40,1,0,0
41,0,1,2
42,0,1,0
43,0,1,0
44,0,1,0
45,0,1,0
46,1,0,0
47,0,2,1
48,0,0,1
49,0,1,0
50,2,0,0
51,1,0,0
52,5,0,1
53,1,0,0
54,0,0,1
55,1,0,0
56,0,0,1
57,0,0,1
58,0,0,1
59,1,4,3
60,0,0,1
61,0,0,1
62,1,0,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,1,0,1
68,1,0,0
69,0,0,1
70,0,1,0
